timeStamp,elapsed,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681200000,33196,500,,Thread-Gruppe 1-8,text,false,,7008,150,15,15,null,33196,0,10
946681200200,33062,500,,Thread-Gruppe 1-11,text,false,,7008,150,15,15,null,33062,0,12
946681200335,32927,500,,Thread-Gruppe 1-13,text,false,,7008,150,15,15,null,32927,0,38
946681200133,33131,500,,Thread-Gruppe 1-10,text,false,,7008,150,15,15,null,33131,0,9
946681200403,32861,500,,Thread-Gruppe 1-14,text,false,,7008,150,15,15,null,32861,0,12
946681200482,32784,500,,Thread-Gruppe 1-15,text,false,,7008,150,15,15,null,32784,0,16
946681199665,33601,500,,Thread-Gruppe 1-3,text,false,,7008,150,15,15,null,33601,0,11
946681199732,33536,500,,Thread-Gruppe 1-4,text,false,,7008,150,15,15,null,33536,0,9
946681200268,33000,500,,Thread-Gruppe 1-12,text,false,,7008,150,15,15,null,33000,0,15
946681200067,33203,500,,Thread-Gruppe 1-9,text,false,,7008,150,15,15,null,33203,0,12
946681199536,33734,500,,Thread-Gruppe 1-1,text,false,,7008,150,15,15,null,33734,0,20
946681199867,33405,500,,Thread-Gruppe 1-6,text,false,,7008,150,15,15,null,33405,0,9
946681199798,33972,200,,Thread-Gruppe 1-5,text,true,,9118,150,15,15,null,33964,0,12
946681199600,34170,200,,Thread-Gruppe 1-2,text,true,,9118,150,15,15,null,34168,0,13
946681199933,33840,200,,Thread-Gruppe 1-7,text,true,,9118,150,15,15,null,33835,0,9
946681233770,2103,200,,Thread-Gruppe 1-2,text,true,,9921,428,15,15,null,1372,0,0
946681233770,1372,302,,Thread-Gruppe 1-2,,true,,803,278,15,15,null,1372,0,0
946681235142,731,200,,Thread-Gruppe 1-2,text,true,,9118,150,15,15,null,731,0,0
946681233271,2607,200,,Thread-Gruppe 1-6,text,true,,9921,428,15,15,null,1870,0,27
946681233271,1870,302,,Thread-Gruppe 1-6,,true,,803,278,15,15,null,1870,0,27
946681235142,736,200,,Thread-Gruppe 1-6,text,true,,9118,150,15,15,null,734,0,0
946681235878,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 74: http://172.20.10.4:8080/tools.descartes.teastore.webui/category?category=${category}&page=1,Thread-Gruppe 1-6,text,false,,1243,0,15,15,null,0,0,0
946681233770,2190,200,,Thread-Gruppe 1-5,text,true,,9922,428,15,15,null,1372,0,0
946681233770,1372,302,,Thread-Gruppe 1-5,,true,,804,278,15,15,null,1372,0,0
946681235142,818,200,,Thread-Gruppe 1-5,text,true,,9118,150,15,15,null,818,0,0
946681233269,2852,200,,Thread-Gruppe 1-1,text,true,,9922,428,15,15,null,1889,0,15
946681233265,2856,200,,Thread-Gruppe 1-3,text,true,,9920,428,15,15,null,1876,0,18
946681233265,1876,302,,Thread-Gruppe 1-3,,true,,802,278,15,15,null,1876,0,18
946681235142,979,200,,Thread-Gruppe 1-3,text,true,,9118,150,15,15,null,979,0,0
946681233269,1889,302,,Thread-Gruppe 1-1,,true,,804,278,15,15,null,1889,0,15
946681235159,962,200,,Thread-Gruppe 1-1,text,true,,9118,150,15,15,null,962,0,0
946681236121,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 74: http://172.20.10.4:8080/tools.descartes.teastore.webui/category?category=${category}&page=1,Thread-Gruppe 1-3,text,false,,1243,0,15,15,null,0,0,0
946681236122,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 74: http://172.20.10.4:8080/tools.descartes.teastore.webui/category?category=${category}&page=1,Thread-Gruppe 1-1,text,false,,1243,0,15,15,null,0,0,0
946681233263,2916,200,,Thread-Gruppe 1-10,text,true,,9921,429,15,15,null,1879,0,20
946681233263,1879,302,,Thread-Gruppe 1-10,,true,,803,279,15,15,null,1879,0,20
946681235143,1036,200,,Thread-Gruppe 1-10,text,true,,9118,150,15,15,null,1036,0,0
946681233267,2912,200,,Thread-Gruppe 1-4,text,true,,9921,428,15,15,null,1891,0,16
946681233267,1891,302,,Thread-Gruppe 1-4,,true,,803,278,15,15,null,1891,0,16
946681235159,1020,200,,Thread-Gruppe 1-4,text,true,,9118,150,15,15,null,1018,0,0
