timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681200000,76,L1: RUN 1,200,,Thread-Gruppe 1-1,text,true,,9118,150,3,3,null,76,0,9
946681200031,104,L1: RUN 1,200,,Thread-Gruppe 1-2,text,true,,9118,150,5,5,null,104,0,14
946681200064,248,L1: RUN 1,200,,Thread-Gruppe 1-3,text,true,,9118,150,10,10,null,248,0,14
946681200087,225,L1: RUN 1,200,,Thread-Gruppe 1-4,text,true,,9118,150,10,10,null,225,0,9
946681200152,166,L1: RUN 1,200,,Thread-Gruppe 1-6,text,true,,9118,150,11,11,null,166,0,13
946681200120,198,L1: RUN 1,200,,Thread-Gruppe 1-5,text,true,,9118,150,11,11,null,198,0,27
946681200077,341,L1: RUN 1,200,,Thread-Gruppe 1-1,text,true,,9921,428,14,14,null,140,0,0
946681200077,140,L1: RUN 1,302,,Thread-Gruppe 1-1,,true,,803,278,14,14,null,140,0,0
946681200217,201,L1: RUN 1,200,,Thread-Gruppe 1-1,text,true,,9118,150,14,14,null,201,0,0
946681200219,201,L1: RUN 1,200,,Thread-Gruppe 1-8,text,true,,9118,150,14,14,null,201,0,44
946681200185,240,L1: RUN 1,200,,Thread-Gruppe 1-7,text,true,,9118,150,14,14,null,240,0,14
946681200252,178,L1: RUN 1,200,,Thread-Gruppe 1-9,text,true,,9118,150,14,14,null,178,0,11
946681200285,235,L1: RUN 1,200,,Thread-Gruppe 1-10,text,true,,9118,150,17,17,null,235,0,12
946681200135,389,L1: RUN 1,200,,Thread-Gruppe 1-2,text,true,,9922,428,17,17,null,175,0,0
946681200135,175,L1: RUN 1,302,,Thread-Gruppe 1-2,,true,,804,278,17,17,null,175,0,0
946681200310,214,L1: RUN 1,200,,Thread-Gruppe 1-2,text,true,,9118,150,17,17,null,210,0,0
946681200383,147,L1: RUN 1,200,,Thread-Gruppe 1-13,text,true,,9118,150,17,17,null,147,0,28
946681200350,270,L1: RUN 1,200,,Thread-Gruppe 1-12,text,true,,9118,150,20,20,null,270,0,50
946681200317,328,L1: RUN 1,200,,Thread-Gruppe 1-11,text,true,,9118,150,20,20,null,328,0,51
946681200339,387,L1: RUN 1,200,,Thread-Gruppe 1-5,text,true,,9921,428,23,23,null,181,0,0
946681200339,181,L1: RUN 1,302,,Thread-Gruppe 1-5,,true,,803,278,23,23,null,181,0,0
946681200520,206,L1: RUN 1,200,,Thread-Gruppe 1-5,text,true,,9118,150,23,23,null,206,0,0
946681200418,308,L1: RUN 1,200,,Thread-Gruppe 1-14,text,true,,9118,150,23,23,null,228,0,13
946681200372,356,L1: RUN 1,200,,Thread-Gruppe 1-6,text,true,,9921,428,23,23,null,148,0,0
946681200372,148,L1: RUN 1,302,,Thread-Gruppe 1-6,,true,,803,278,23,23,null,148,0,0
946681200520,208,L1: RUN 1,200,,Thread-Gruppe 1-6,text,true,,9118,150,23,23,null,208,0,0
946681200451,277,L1: RUN 1,200,,Thread-Gruppe 1-15,text,true,,9118,150,23,23,null,277,0,38
946681200312,417,L1: RUN 1,200,,Thread-Gruppe 1-4,text,true,,9921,428,23,23,null,209,0,0
946681200312,209,L1: RUN 1,302,,Thread-Gruppe 1-4,,true,,803,278,23,23,null,209,0,0
946681200521,208,L1: RUN 1,200,,Thread-Gruppe 1-4,text,true,,9118,150,23,23,null,208,0,0
946681200581,266,L1: RUN 1,200,,Thread-Gruppe 1-19,text,true,,9118,150,27,27,null,263,0,65
946681200681,288,L1: RUN 1,200,,Thread-Gruppe 1-22,text,true,,9118,150,30,30,null,288,0,11
946681200499,481,L1: RUN 1,200,,Thread-Gruppe 1-8,text,true,,9920,428,30,30,null,147,0,0
946681200499,147,L1: RUN 1,302,,Thread-Gruppe 1-8,,true,,802,278,30,30,null,147,0,0
946681200646,334,L1: RUN 1,200,,Thread-Gruppe 1-8,text,true,,9118,150,30,30,null,334,0,0
946681200482,498,L1: RUN 1,200,,Thread-Gruppe 1-16,text,true,,9118,150,30,30,null,498,0,13
946681200514,466,L1: RUN 1,200,,Thread-Gruppe 1-17,text,true,,9118,150,30,30,null,466,0,16
946681200614,372,L1: RUN 1,200,,Thread-Gruppe 1-20,text,true,,9118,150,30,30,null,372,0,60
946681200524,508,L1: RUN 1,200,,Thread-Gruppe 1-2,text,true,,123956,176,30,30,null,320,0,0
946681200465,569,L1: RUN 1,200,,Thread-Gruppe 1-7,text,true,,9921,428,30,30,null,181,0,0
946681200465,181,L1: RUN 1,302,,Thread-Gruppe 1-7,,true,,803,278,30,30,null,181,0,0
946681200646,388,L1: RUN 1,200,,Thread-Gruppe 1-7,text,true,,9118,150,30,30,null,388,0,0
946681200312,722,L1: RUN 1,200,,Thread-Gruppe 1-3,text,true,,9922,428,30,30,null,218,0,0
946681200312,218,L1: RUN 1,302,,Thread-Gruppe 1-3,,true,,804,278,30,30,null,218,0,0
946681200530,504,L1: RUN 1,200,,Thread-Gruppe 1-3,text,true,,9118,150,30,30,null,504,0,0
946681200549,487,L1: RUN 1,200,,Thread-Gruppe 1-18,text,true,,9118,150,30,30,null,487,0,9
946681200531,505,L1: RUN 1,200,,Thread-Gruppe 1-9,text,true,,9921,428,30,30,null,197,0,0
946681200531,197,L1: RUN 1,302,,Thread-Gruppe 1-9,,true,,803,278,30,30,null,197,0,0
946681200728,308,L1: RUN 1,200,,Thread-Gruppe 1-9,text,true,,9118,150,30,30,null,308,0,0
946681200418,628,L1: RUN 1,200,,Thread-Gruppe 1-1,text,true,,105228,176,30,30,null,562,0,0
946681200648,564,L1: RUN 1,200,,Thread-Gruppe 1-21,text,true,,9118,150,30,30,null,564,0,43
946681200625,620,L1: RUN 1,200,,Thread-Gruppe 1-10,text,true,,9922,429,30,30,null,219,0,0
946681200625,219,L1: RUN 1,302,,Thread-Gruppe 1-10,,true,,804,279,30,30,null,219,0,0
946681200844,401,L1: RUN 1,200,,Thread-Gruppe 1-10,text,true,,9118,150,30,30,null,401,0,0
946681200717,528,L1: RUN 1,200,,Thread-Gruppe 1-11,text,true,,9921,429,30,30,null,319,0,0
946681200717,319,L1: RUN 1,302,,Thread-Gruppe 1-11,,true,,803,279,30,30,null,319,0,0
946681201036,209,L1: RUN 1,200,,Thread-Gruppe 1-11,text,true,,9118,150,30,30,null,209,0,0
946681200779,466,L1: RUN 1,200,,Thread-Gruppe 1-25,text,true,,9118,150,30,30,null,466,0,16
946681200814,431,L1: RUN 1,200,,Thread-Gruppe 1-26,text,true,,9118,150,30,30,null,431,0,45
946681200746,510,L1: RUN 1,200,,Thread-Gruppe 1-24,text,true,,9118,150,30,30,null,500,0,15
946681200878,459,L1: RUN 1,200,,Thread-Gruppe 1-28,text,true,,9118,150,30,30,null,459,0,11
946681200713,624,L1: RUN 1,200,,Thread-Gruppe 1-23,text,true,,9118,150,30,30,null,624,0,23
946681200750,684,L1: RUN 1,200,,Thread-Gruppe 1-12,text,true,,9921,429,30,30,null,282,0,0
946681200750,282,L1: RUN 1,302,,Thread-Gruppe 1-12,,true,,803,279,30,30,null,282,0,0
946681201032,402,L1: RUN 1,200,,Thread-Gruppe 1-12,text,true,,9118,150,30,30,null,402,0,0
946681200846,588,L1: RUN 1,200,,Thread-Gruppe 1-27,text,true,,9118,150,30,30,null,588,0,20
946681200911,814,L1: RUN 1,200,,Thread-Gruppe 1-29,text,true,,9118,150,30,30,null,813,0,80
946681200945,780,L1: RUN 1,200,,Thread-Gruppe 1-30,text,true,,9118,150,30,30,null,779,0,46
946681200723,1426,L1: RUN 1,200,,Thread-Gruppe 1-13,text,true,,9921,429,30,30,null,522,0,0
946681201379,770,L1: RUN 1,200,,Thread-Gruppe 1-25,text,true,,9920,429,30,30,null,243,0,0
946681200723,522,L1: RUN 1,302,,Thread-Gruppe 1-13,,true,,803,279,30,30,null,522,0,0
946681201379,243,L1: RUN 1,302,,Thread-Gruppe 1-25,,true,,802,279,30,30,null,243,0,0
946681201245,904,L1: RUN 1,200,,Thread-Gruppe 1-13,text,true,,9118,150,30,30,null,899,0,0
946681201622,527,L1: RUN 1,200,,Thread-Gruppe 1-25,text,true,,9118,150,30,30,null,527,0,0
946681200877,1390,L1: RUN 1,200,,Thread-Gruppe 1-14,text,true,,9922,429,30,30,null,335,0,0
946681200877,335,L1: RUN 1,302,,Thread-Gruppe 1-14,,true,,804,279,30,30,null,335,0,0
946681201212,1055,L1: RUN 1,200,,Thread-Gruppe 1-14,text,true,,9118,150,30,30,null,1053,0,0
946681201280,992,L1: RUN 1,200,,Thread-Gruppe 1-22,text,true,,9922,429,30,30,null,342,0,0
946681201280,342,L1: RUN 1,302,,Thread-Gruppe 1-22,,true,,804,279,30,30,null,342,0,0
946681201622,650,L1: RUN 1,200,,Thread-Gruppe 1-22,text,true,,9118,150,30,30,null,650,0,0
946681201478,1031,L1: RUN 1,200,,Thread-Gruppe 1-28,text,true,,9921,429,30,30,null,245,0,0
946681201478,245,L1: RUN 1,302,,Thread-Gruppe 1-28,,true,,803,279,30,30,null,245,0,0
946681201724,785,L1: RUN 1,200,,Thread-Gruppe 1-28,text,true,,9118,150,30,30,null,619,0,0
946681201338,1245,L1: RUN 1,200,,Thread-Gruppe 1-23,text,true,,9920,429,30,30,null,284,0,0
946681201338,284,L1: RUN 1,302,,Thread-Gruppe 1-23,,true,,802,279,30,30,null,284,0,0
946681201622,961,L1: RUN 1,200,,Thread-Gruppe 1-23,text,true,,9118,150,30,30,null,961,0,0
946681201214,1434,L1: RUN 1,200,,Thread-Gruppe 1-20,text,true,,9921,429,30,30,null,408,0,0
946681201214,408,L1: RUN 1,302,,Thread-Gruppe 1-20,,true,,803,279,30,30,null,408,0,0
946681201622,1026,L1: RUN 1,200,,Thread-Gruppe 1-20,text,true,,9118,150,30,30,null,1026,0,0
946681200773,2022,L1: RUN 1,200,,Thread-Gruppe 1-4,text,true,,112658,176,30,30,null,1492,0,0
946681201114,1763,L1: RUN 1,200,,Thread-Gruppe 1-17,text,true,,9921,429,30,30,null,609,0,0
946681201114,609,L1: RUN 1,302,,Thread-Gruppe 1-17,,true,,803,279,30,30,null,609,0,0
946681201723,1154,L1: RUN 1,200,,Thread-Gruppe 1-17,text,true,,9118,150,30,30,null,1154,0,0
946681201149,1728,L1: RUN 1,200,,Thread-Gruppe 1-18,text,true,,9922,429,30,30,null,473,0,0
946681201149,473,L1: RUN 1,302,,Thread-Gruppe 1-18,,true,,804,279,30,30,null,473,0,0
946681201622,1255,L1: RUN 1,200,,Thread-Gruppe 1-18,text,true,,9118,150,30,30,null,961,0,0
946681200833,2044,L1: RUN 1,200,,Thread-Gruppe 1-6,text,true,,123956,176,30,30,null,1439,0,0
946681201249,1849,L1: RUN 1,200,,Thread-Gruppe 1-21,text,true,,9922,429,30,30,null,480,0,0
946681201249,480,L1: RUN 1,302,,Thread-Gruppe 1-21,,true,,804,279,30,30,null,480,0,0
946681201729,1369,L1: RUN 1,200,,Thread-Gruppe 1-21,text,true,,9118,150,30,30,null,1369,0,0
946681201345,1936,L1: RUN 1,200,,Thread-Gruppe 1-24,text,true,,9922,429,30,30,null,574,0,0
946681201345,574,L1: RUN 1,302,,Thread-Gruppe 1-24,,true,,804,279,30,30,null,574,0,0
946681201919,1362,L1: RUN 1,200,,Thread-Gruppe 1-24,text,true,,9118,150,30,30,null,1362,0,0
946681200911,2370,L1: RUN 1,200,,Thread-Gruppe 1-15,text,true,,9921,429,30,30,null,345,0,0
946681200911,345,L1: RUN 1,302,,Thread-Gruppe 1-15,,true,,803,279,30,30,null,345,0,0
946681201256,2025,L1: RUN 1,200,,Thread-Gruppe 1-15,text,true,,9118,150,30,30,null,2025,0,0
