timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681200000,63,"Level 3, Run 1Home",200,,Thread-Gruppe 1-1,text,true,,9118,150,1,1,null,63,0,12
946681200064,37,"Level 3, Run 1Home",200,,Thread-Gruppe 1-2,text,true,,9118,150,2,2,null,37,0,8
946681200063,71,"Level 3, Run 1Login",200,,Thread-Gruppe 1-1,text,true,,9921,428,3,3,null,38,0,0
946681200063,38,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-1,,true,,803,278,3,3,null,38,0,0
946681200101,33,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-1,text,true,,9118,150,3,3,null,33,0,0
946681200127,47,"Level 3, Run 1Home",200,,Thread-Gruppe 1-3,text,true,,9118,150,3,3,null,47,0,11
946681200102,72,"Level 3, Run 1Login",200,,Thread-Gruppe 1-2,text,true,,9920,428,3,3,null,36,0,0
946681200102,36,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-2,,true,,802,278,3,3,null,36,0,0
946681200138,36,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-2,text,true,,9118,150,3,3,null,36,0,0
946681200188,88,"Level 3, Run 1Home",200,,Thread-Gruppe 1-4,text,true,,9118,150,5,5,null,88,0,7
946681200134,179,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-1,text,true,,151559,176,5,5,null,137,0,0
946681200314,75,"Level 3, Run 1Home",200,,Thread-Gruppe 1-6,text,true,,9118,150,7,7,null,75,0,10
946681200251,138,"Level 3, Run 1Home",200,,Thread-Gruppe 1-5,text,true,,9118,150,7,7,null,138,0,8
946681200174,243,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-2,text,true,,151559,176,7,7,null,213,0,0
946681200288,291,"Level 3, Run 1Login",200,,Thread-Gruppe 1-4,text,true,,9921,428,10,10,null,101,0,0
946681200288,101,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-4,,true,,803,278,10,10,null,101,0,0
946681200389,190,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-4,text,true,,9118,150,10,10,null,190,0,0
946681200186,393,"Level 3, Run 1Login",200,,Thread-Gruppe 1-3,text,true,,9921,428,10,10,null,201,0,0
946681200186,201,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-3,,true,,803,278,10,10,null,201,0,0
946681200387,192,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-3,text,true,,9118,150,10,10,null,192,0,0
946681200378,202,"Level 3, Run 1Home",200,,Thread-Gruppe 1-7,text,true,,9118,150,10,10,null,202,0,19
946681200503,166,"Level 3, Run 1Home",200,,Thread-Gruppe 1-9,text,true,,9118,150,11,11,null,166,0,9
946681200440,238,"Level 3, Run 1Home",200,,Thread-Gruppe 1-8,text,true,,9118,150,11,11,null,238,0,14
946681200391,290,"Level 3, Run 1Login",200,,Thread-Gruppe 1-5,text,true,,9920,428,11,11,null,188,0,0
946681200391,188,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-5,,true,,802,278,11,11,null,188,0,0
946681200579,102,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-5,text,true,,9118,150,11,11,null,102,0,0
946681200566,202,"Level 3, Run 1Home",200,,Thread-Gruppe 1-10,text,true,,9118,150,13,13,null,202,0,14
946681200631,140,"Level 3, Run 1Home",200,,Thread-Gruppe 1-11,text,true,,9118,150,13,13,null,140,0,11
946681200455,342,"Level 3, Run 1Login",200,,Thread-Gruppe 1-6,text,true,,9921,428,13,13,null,214,0,0
946681200455,214,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-6,,true,,803,278,13,13,null,214,0,0
946681200669,128,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-6,text,true,,9118,150,13,13,null,128,0,0
946681200693,171,"Level 3, Run 1Home",200,,Thread-Gruppe 1-12,text,true,,9118,150,14,14,null,104,0,10
946681200579,394,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-3,text,true,,151559,176,16,16,null,295,0,0
946681200681,435,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-5,text,true,,123956,176,16,16,null,400,0,0
946681200722,466,"Level 3, Run 1Login",200,,Thread-Gruppe 1-9,text,true,,9922,428,16,16,null,152,0,0
946681200722,152,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-9,,true,,804,278,16,16,null,152,0,0
946681200874,314,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-9,text,true,,9118,150,16,16,null,314,0,0
946681200581,622,"Level 3, Run 1Login",200,,Thread-Gruppe 1-7,text,true,,9921,428,16,16,null,188,0,0
946681200581,188,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-7,,true,,803,278,16,16,null,188,0,0
946681200769,434,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-7,text,true,,9118,150,16,16,null,434,0,0
946681200826,402,"Level 3, Run 1Login",200,,Thread-Gruppe 1-10,text,true,,9921,429,16,16,null,147,0,0
946681200826,147,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-10,,true,,803,279,16,16,null,147,0,0
946681200973,255,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-10,text,true,,9118,150,16,16,null,230,0,0
946681200817,411,"Level 3, Run 1Home",200,,Thread-Gruppe 1-14,text,true,,9118,150,16,16,null,411,0,9
946681200754,474,"Level 3, Run 1Home",200,,Thread-Gruppe 1-13,text,true,,9118,150,16,16,null,474,0,14
946681200944,293,"Level 3, Run 1Home",200,,Thread-Gruppe 1-16,text,true,,9118,150,16,16,null,293,0,11
946681200313,927,"Level 3, Run 1Look at Product",200,,Thread-Gruppe 1-1,text,true,,151845,164,16,16,null,660,0,0
946681200881,421,"Level 3, Run 1Home",200,,Thread-Gruppe 1-15,text,true,,9118,150,16,16,null,421,0,19
946681200679,623,"Level 3, Run 1Login",200,,Thread-Gruppe 1-8,text,true,,9920,428,16,16,null,195,0,0
946681200679,195,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-8,,true,,802,278,16,16,null,195,0,0
946681200874,428,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-8,text,true,,9118,150,16,16,null,428,0,0
946681200579,723,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-4,text,true,,97994,176,16,16,null,502,0,0
946681200417,924,"Level 3, Run 1Look at Product",200,,Thread-Gruppe 1-2,text,true,,153343,164,16,16,null,811,0,0
946681200797,579,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-6,text,true,,151559,176,16,16,null,506,0,0
946681200891,683,"Level 3, Run 1Login",200,,Thread-Gruppe 1-11,text,true,,9920,429,16,16,null,379,0,0
946681200891,379,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-11,,true,,802,279,16,16,null,379,0,0
946681201270,304,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-11,text,true,,9118,150,16,16,null,217,0,0
946681200973,601,"Level 3, Run 1Login",200,,Thread-Gruppe 1-12,text,true,,9921,429,16,16,null,215,0,0
946681200973,215,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-12,,true,,803,279,16,16,null,215,0,0
946681201188,386,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-12,text,true,,9118,150,16,16,null,386,0,0
946681201188,611,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-9,text,true,,105228,176,16,16,null,488,0,0
946681201203,628,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-7,text,true,,97994,176,16,16,null,596,0,0
946681201275,600,"Level 3, Run 1Login",200,,Thread-Gruppe 1-16,text,true,,9920,429,16,16,null,199,0,0
946681201275,199,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-16,,true,,802,279,16,16,null,199,0,0
946681201474,401,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-16,text,true,,9118,150,16,16,null,327,0,0
946681201229,646,"Level 3, Run 1Login",200,,Thread-Gruppe 1-13,text,true,,9921,429,16,16,null,245,0,0
946681201229,245,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-13,,true,,803,279,16,16,null,245,0,0
946681201474,401,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-13,text,true,,9118,150,16,16,null,401,0,0
946681201341,740,"Level 3, Run 1Add Product to Cart",200,,Thread-Gruppe 1-2,text,true,,9792,263,16,16,null,740,0,0
946681201302,788,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-8,text,true,,151559,176,16,16,null,676,0,0
946681201228,864,"Level 3, Run 1Login",200,,Thread-Gruppe 1-14,text,true,,9921,429,16,16,null,148,0,0
946681201228,148,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-14,,true,,803,279,16,16,null,148,0,0
946681201376,716,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-14,text,true,,9118,150,16,16,null,707,0,0
946681201240,852,"Level 3, Run 1Add Product to Cart",200,,Thread-Gruppe 1-1,text,true,,9792,263,16,16,null,850,0,0
946681201302,987,"Level 3, Run 1Login",200,,Thread-Gruppe 1-15,text,true,,9921,429,16,16,null,272,0,0
946681201302,272,"Level 3, Run 1Login-0",302,,Thread-Gruppe 1-15,,true,,803,279,16,16,null,272,0,0
946681201574,715,"Level 3, Run 1Login-1",200,,Thread-Gruppe 1-15,text,true,,9118,150,16,16,null,715,0,0
946681200974,1336,"Level 3, Run 1Look at Product",200,,Thread-Gruppe 1-3,text,true,,151325,164,16,16,null,1116,0,0
946681201117,1278,"Level 3, Run 1Look at Product",200,,Thread-Gruppe 1-5,text,true,,121921,164,16,16,null,1172,0,0
946681201228,1368,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-10,text,true,,112658,176,16,16,null,1165,0,0
946681201574,1153,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-12,text,true,,123956,176,16,16,null,910,0,0
946681201574,1153,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-11,text,true,,112658,176,16,16,null,910,0,0
946681202309,475,"Level 3, Run 1Add Product to Cart",200,,Thread-Gruppe 1-3,text,true,,9792,263,16,16,null,475,0,0
946681201875,952,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-13,text,true,,151559,176,16,16,null,910,0,0
946681202091,776,"Level 3, Run 1Update Cart",200,,Thread-Gruppe 1-1,text,true,,10461,448,16,16,null,301,0,0
946681202091,301,"Level 3, Run 1Update Cart-0",302,,Thread-Gruppe 1-1,,true,,669,294,16,16,null,301,0,0
946681202392,475,"Level 3, Run 1Update Cart-1",200,,Thread-Gruppe 1-1,text,true,,9792,154,16,16,null,475,0,0
946681202080,892,"Level 3, Run 1Update Cart",200,,Thread-Gruppe 1-2,text,true,,10461,448,16,16,null,310,0,0
946681202080,310,"Level 3, Run 1Update Cart-0",302,,Thread-Gruppe 1-2,,true,,669,294,16,16,null,310,0,0
946681202390,582,"Level 3, Run 1Update Cart-1",200,,Thread-Gruppe 1-2,text,true,,9792,154,16,16,null,582,0,0
946681202394,587,"Level 3, Run 1Add Product to Cart",200,,Thread-Gruppe 1-5,text,true,,9792,263,16,16,null,580,0,0
946681201875,1141,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-16,text,true,,112658,176,16,16,null,1098,0,0
946681202091,1028,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-14,text,true,,105228,176,16,16,null,883,0,0
946681201302,1827,"Level 3, Run 1Look at Product",200,,Thread-Gruppe 1-4,text,true,,106181,163,16,16,null,1790,0,0
946681202288,854,"Level 3, Run 1List Products",200,,Thread-Gruppe 1-15,text,true,,123956,176,16,16,null,803,0,0
946681202784,486,"Level 3, Run 1Update Cart",200,,Thread-Gruppe 1-3,text,true,,10461,448,16,16,null,83,0,0
946681202784,83,"Level 3, Run 1Update Cart-0",302,,Thread-Gruppe 1-3,,true,,669,294,16,16,null,83,0,0
946681202867,403,"Level 3, Run 1Update Cart-1",200,,Thread-Gruppe 1-3,text,true,,9792,154,16,16,null,315,0,0
946681201376,2002,"Level 3, Run 1Look at Product",200,,Thread-Gruppe 1-6,text,true,,150533,164,16,16,null,1805,0,0
946681201800,1686,"Level 3, Run 1Look at Product",200,,Thread-Gruppe 1-9,text,true,,103098,164,16,16,null,1676,0,0
946681202972,604,"Level 3, Run 1Logout",200,,Thread-Gruppe 1-2,text,true,,10250,402,16,16,null,199,0,0
946681202972,199,"Level 3, Run 1Logout-0",302,,Thread-Gruppe 1-2,,true,,1132,252,16,16,null,199,0,0
946681203171,405,"Level 3, Run 1Logout-1",200,,Thread-Gruppe 1-2,text,true,,9118,150,16,16,null,405,0,0
946681202867,709,"Level 3, Run 1Logout",200,,Thread-Gruppe 1-1,text,true,,10250,402,16,16,null,215,0,0
946681202867,215,"Level 3, Run 1Logout-0",302,,Thread-Gruppe 1-1,,true,,1132,252,16,16,null,215,0,0
946681203082,494,"Level 3, Run 1Logout-1",200,,Thread-Gruppe 1-1,text,true,,9118,150,16,16,null,494,0,0
946681203270,606,"Level 3, Run 1Logout",200,,Thread-Gruppe 1-3,text,true,,10250,402,16,16,null,206,0,0
946681203270,206,"Level 3, Run 1Logout-0",302,,Thread-Gruppe 1-3,,true,,1132,252,16,16,null,206,0,0
946681203476,400,"Level 3, Run 1Logout-1",200,,Thread-Gruppe 1-3,text,true,,9118,150,16,16,null,400,0,0
946681203377,616,"Level 3, Run 1Add Product to Cart",200,,Thread-Gruppe 1-6,text,true,,9792,263,16,16,null,616,0,0
946681203577,418,"Level 3, Run 1Home",200,,Thread-Gruppe 1-2,text,true,,9118,150,16,16,null,416,0,0
946681203128,876,"Level 3, Run 1Add Product to Cart",200,,Thread-Gruppe 1-4,text,true,,9792,262,16,16,null,876,0,0
946681202981,1024,"Level 3, Run 1Update Cart",200,,Thread-Gruppe 1-5,text,true,,10461,448,16,16,null,101,0,0
946681202981,101,"Level 3, Run 1Update Cart-0",302,,Thread-Gruppe 1-5,,true,,669,294,16,16,null,101,0,0
946681203082,923,"Level 3, Run 1Update Cart-1",200,,Thread-Gruppe 1-5,text,true,,9792,154,16,16,null,923,0,0
946681201832,2182,"Level 3, Run 1Look at Product",200,,Thread-Gruppe 1-7,text,true,,104133,162,16,16,null,1844,0,0
946681203577,436,"Level 3, Run 1Home",200,,Thread-Gruppe 1-1,text,true,,9118,150,16,16,null,436,0,0
946681203485,606,"Level 3, Run 1Add Product to Cart",200,,Thread-Gruppe 1-9,text,true,,9792,263,16,16,null,606,0,0
946681203876,215,"Level 3, Run 1Home",200,,Thread-Gruppe 1-3,text,true,,9118,150,16,16,null,215,0,0
