timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1776900296061,63,Home,200,,Thread-Gruppe 1-1,text,true,,9118,150,1,1,63,0,12
1776900296125,37,Home,200,,Thread-Gruppe 1-2,text,true,,9118,150,2,2,37,0,8
1776900296124,71,Login,200,,Thread-Gruppe 1-1,text,true,,9921,428,3,3,38,0,0
1776900296124,38,Login-0,302,,Thread-Gruppe 1-1,,true,,803,278,3,3,38,0,0
1776900296162,33,Login-1,200,,Thread-Gruppe 1-1,text,true,,9118,150,3,3,33,0,0
1776900296188,47,Home,200,,Thread-Gruppe 1-3,text,true,,9118,150,3,3,47,0,11
1776900296163,72,Login,200,,Thread-Gruppe 1-2,text,true,,9920,428,3,3,36,0,0
1776900296163,36,Login-0,302,,Thread-Gruppe 1-2,,true,,802,278,3,3,36,0,0
1776900296199,36,Login-1,200,,Thread-Gruppe 1-2,text,true,,9118,150,3,3,36,0,0
1776900296249,88,Home,200,,Thread-Gruppe 1-4,text,true,,9118,150,5,5,88,0,7
1776900296195,179,List Products,200,,Thread-Gruppe 1-1,text,true,,151559,176,5,5,137,0,0
1776900296375,75,Home,200,,Thread-Gruppe 1-6,text,true,,9118,150,7,7,75,0,10
1776900296312,138,Home,200,,Thread-Gruppe 1-5,text,true,,9118,150,7,7,138,0,8
1776900296235,243,List Products,200,,Thread-Gruppe 1-2,text,true,,151559,176,7,7,213,0,0
1776900296349,291,Login,200,,Thread-Gruppe 1-4,text,true,,9921,428,10,10,101,0,0
1776900296349,101,Login-0,302,,Thread-Gruppe 1-4,,true,,803,278,10,10,101,0,0
1776900296450,190,Login-1,200,,Thread-Gruppe 1-4,text,true,,9118,150,10,10,190,0,0
1776900296247,393,Login,200,,Thread-Gruppe 1-3,text,true,,9921,428,10,10,201,0,0
1776900296247,201,Login-0,302,,Thread-Gruppe 1-3,,true,,803,278,10,10,201,0,0
1776900296448,192,Login-1,200,,Thread-Gruppe 1-3,text,true,,9118,150,10,10,192,0,0
1776900296439,202,Home,200,,Thread-Gruppe 1-7,text,true,,9118,150,10,10,202,0,19
1776900296564,166,Home,200,,Thread-Gruppe 1-9,text,true,,9118,150,11,11,166,0,9
1776900296501,238,Home,200,,Thread-Gruppe 1-8,text,true,,9118,150,11,11,238,0,14
1776900296452,290,Login,200,,Thread-Gruppe 1-5,text,true,,9920,428,11,11,188,0,0
1776900296452,188,Login-0,302,,Thread-Gruppe 1-5,,true,,802,278,11,11,188,0,0
1776900296640,102,Login-1,200,,Thread-Gruppe 1-5,text,true,,9118,150,11,11,102,0,0
1776900296627,202,Home,200,,Thread-Gruppe 1-10,text,true,,9118,150,13,13,202,0,14
1776900296692,140,Home,200,,Thread-Gruppe 1-11,text,true,,9118,150,13,13,140,0,11
1776900296516,342,Login,200,,Thread-Gruppe 1-6,text,true,,9921,428,13,13,214,0,0
1776900296516,214,Login-0,302,,Thread-Gruppe 1-6,,true,,803,278,13,13,214,0,0
1776900296730,128,Login-1,200,,Thread-Gruppe 1-6,text,true,,9118,150,13,13,128,0,0
1776900296754,171,Home,200,,Thread-Gruppe 1-12,text,true,,9118,150,14,14,104,0,10
1776900296640,394,List Products,200,,Thread-Gruppe 1-3,text,true,,151559,176,16,16,295,0,0
1776900296742,435,List Products,200,,Thread-Gruppe 1-5,text,true,,123956,176,16,16,400,0,0
1776900296783,466,Login,200,,Thread-Gruppe 1-9,text,true,,9922,428,16,16,152,0,0
1776900296783,152,Login-0,302,,Thread-Gruppe 1-9,,true,,804,278,16,16,152,0,0
1776900296935,314,Login-1,200,,Thread-Gruppe 1-9,text,true,,9118,150,16,16,314,0,0
1776900296642,622,Login,200,,Thread-Gruppe 1-7,text,true,,9921,428,16,16,188,0,0
1776900296642,188,Login-0,302,,Thread-Gruppe 1-7,,true,,803,278,16,16,188,0,0
1776900296830,434,Login-1,200,,Thread-Gruppe 1-7,text,true,,9118,150,16,16,434,0,0
1776900296887,402,Login,200,,Thread-Gruppe 1-10,text,true,,9921,429,16,16,147,0,0
1776900296887,147,Login-0,302,,Thread-Gruppe 1-10,,true,,803,279,16,16,147,0,0
1776900297034,255,Login-1,200,,Thread-Gruppe 1-10,text,true,,9118,150,16,16,230,0,0
1776900296878,411,Home,200,,Thread-Gruppe 1-14,text,true,,9118,150,16,16,411,0,9
1776900296815,474,Home,200,,Thread-Gruppe 1-13,text,true,,9118,150,16,16,474,0,14
1776900297005,293,Home,200,,Thread-Gruppe 1-16,text,true,,9118,150,16,16,293,0,11
1776900296374,927,Look at Product,200,,Thread-Gruppe 1-1,text,true,,151845,164,16,16,660,0,0
1776900296942,421,Home,200,,Thread-Gruppe 1-15,text,true,,9118,150,16,16,421,0,19
1776900296740,623,Login,200,,Thread-Gruppe 1-8,text,true,,9920,428,16,16,195,0,0
1776900296740,195,Login-0,302,,Thread-Gruppe 1-8,,true,,802,278,16,16,195,0,0
1776900296935,428,Login-1,200,,Thread-Gruppe 1-8,text,true,,9118,150,16,16,428,0,0
1776900296640,723,List Products,200,,Thread-Gruppe 1-4,text,true,,97994,176,16,16,502,0,0
1776900296478,924,Look at Product,200,,Thread-Gruppe 1-2,text,true,,153343,164,16,16,811,0,0
1776900296858,579,List Products,200,,Thread-Gruppe 1-6,text,true,,151559,176,16,16,506,0,0
1776900296952,683,Login,200,,Thread-Gruppe 1-11,text,true,,9920,429,16,16,379,0,0
1776900296952,379,Login-0,302,,Thread-Gruppe 1-11,,true,,802,279,16,16,379,0,0
1776900297331,304,Login-1,200,,Thread-Gruppe 1-11,text,true,,9118,150,16,16,217,0,0
1776900297034,601,Login,200,,Thread-Gruppe 1-12,text,true,,9921,429,16,16,215,0,0
1776900297034,215,Login-0,302,,Thread-Gruppe 1-12,,true,,803,279,16,16,215,0,0
1776900297249,386,Login-1,200,,Thread-Gruppe 1-12,text,true,,9118,150,16,16,386,0,0
1776900297249,611,List Products,200,,Thread-Gruppe 1-9,text,true,,105228,176,16,16,488,0,0
1776900297264,628,List Products,200,,Thread-Gruppe 1-7,text,true,,97994,176,16,16,596,0,0
1776900297336,600,Login,200,,Thread-Gruppe 1-16,text,true,,9920,429,16,16,199,0,0
1776900297336,199,Login-0,302,,Thread-Gruppe 1-16,,true,,802,279,16,16,199,0,0
1776900297535,401,Login-1,200,,Thread-Gruppe 1-16,text,true,,9118,150,16,16,327,0,0
1776900297290,646,Login,200,,Thread-Gruppe 1-13,text,true,,9921,429,16,16,245,0,0
1776900297290,245,Login-0,302,,Thread-Gruppe 1-13,,true,,803,279,16,16,245,0,0
1776900297535,401,Login-1,200,,Thread-Gruppe 1-13,text,true,,9118,150,16,16,401,0,0
1776900297402,740,Add Product to Cart,200,,Thread-Gruppe 1-2,text,true,,9792,263,16,16,740,0,0
1776900297363,788,List Products,200,,Thread-Gruppe 1-8,text,true,,151559,176,16,16,676,0,0
1776900297289,864,Login,200,,Thread-Gruppe 1-14,text,true,,9921,429,16,16,148,0,0
1776900297289,148,Login-0,302,,Thread-Gruppe 1-14,,true,,803,279,16,16,148,0,0
1776900297437,716,Login-1,200,,Thread-Gruppe 1-14,text,true,,9118,150,16,16,707,0,0
1776900297301,852,Add Product to Cart,200,,Thread-Gruppe 1-1,text,true,,9792,263,16,16,850,0,0
1776900297363,987,Login,200,,Thread-Gruppe 1-15,text,true,,9921,429,16,16,272,0,0
1776900297363,272,Login-0,302,,Thread-Gruppe 1-15,,true,,803,279,16,16,272,0,0
1776900297635,715,Login-1,200,,Thread-Gruppe 1-15,text,true,,9118,150,16,16,715,0,0
1776900297035,1336,Look at Product,200,,Thread-Gruppe 1-3,text,true,,151325,164,16,16,1116,0,0
1776900297178,1278,Look at Product,200,,Thread-Gruppe 1-5,text,true,,121921,164,16,16,1172,0,0
